category,name,parent,body_md,source,tags
feat,Actor,,"## Actor

**Prerequisite:** CHA 13+
**Ability Score Increase:** CHA +1

You gain the following benefits.

**Impersonation.** While you're disguised as a real or fictional person, you have Advantage|XPHB on Charisma (XPHB or XPHB) checks to convince others that you are that person.

**Mimicry.** You can mimic the sounds of other creatures, including speech. A creature that hears the mimicry must succeed on a Wisdom (XPHB) check to determine the effect is faked (DC 8 plus your Charisma modifier and Proficiency|XPHB|Proficiency Bonus).

*Source: XPHB*",XPHB,feat;xphb
feat,Adept of the Black Robes,,"## Adept of the Black Robes

**Prerequisite:** None

You chose the moon Nuitari to influence your magic, and your ambition and loyalty to the Order of the Black Robes have been recognized, granting you these benefits:
- **Ambitious Magic:** You learn one 2nd-level spell of your choice. The 2nd-level spell|spells|level=2|school=E;N must be from the enchantment or necromancy school of magic. You can cast this feat's 2nd-level spell without a spell slot, and you must finish a long rest before you can cast it in this way again. You can also cast this spell using spell slots you have of the appropriate level. The spell's spellcasting ability is the one chosen when you gained the DSotDQ feat.
- **Life Channel:** You can channel your life force into the power of your magic. When a creature you can see within 60 feet of you fails a saving throw against a spell that deals damage that you cast, you can expend a number of Hit Dice equal to the level of the spell. Roll the expended Hit Dice and add them together. The damage that the creature takes increases by an amount equal to that total.

*Source: DSotDQ*",DSotDQ,feat;dsotdq
feat,Adept of the Red Robes,,"## Adept of the Red Robes

**Prerequisite:** None

You chose the moon Lunitari to influence your magic, and your dedication to maintaining the balance between all things has been recognized by the Order of the Red Robes, granting you these benefits:
- **Insightful Magic:** You learn one 2nd-level spell of your choice. The 2nd-level spell|spells|level=2|school=I;T must be from the illusion or transmutation school of magic. You can cast this feat's 2nd-level spell without a spell slot, and you must finish a long rest before you can cast it in this way again. You can also cast this spell using spell slots you have of the appropriate level. The spell's spellcasting ability is the one chosen when you gained the DSotDQ feat.
- **Magical Balance:** When you make an attack roll or an ability check and roll a 9 or lower on the d20, you can balance fate and treat the roll as a 10. You can balance fate in this way a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.

*Source: DSotDQ*",DSotDQ,feat;dsotdq
feat,Adept of the White Robes,,"## Adept of the White Robes

**Prerequisite:** None

You chose the moon Solinari to influence your magic, and your oath to use magic to make the world a better place has been recognized by the Order of the White Robes, granting you these benefits:
- **Protective Magic:** You learn one 2nd-level spell of your choice. The 2nd-level spell|spells|level=2|school=A;D must be from the abjuration or divination school of magic. You can cast this feat's 2nd-level spell without a spell slot, and you must finish a long rest before you can cast it in this way again. You can also cast this spell using spell slots you have of the appropriate level. The spell's spellcasting ability is the one chosen when you gained the DSotDQ feat.
- **Protective Ward:** When you or a creature you can see within 30 feet of you takes damage, you can use your reaction to expend a spell slot and weave protective magic around the target. Roll a number of d6s equal to the level of the spell slot expended and reduce the damage the target takes by the total rolled on those dice + your spellcasting ability modifier.

*Source: DSotDQ*",DSotDQ,feat;dsotdq
race,Aetherborn,,"## Aetherborn

*Medium | Speed 30 ft.*

**Ability Score Increases:** CHA +2

### Racial Traits

Flexible Ability Score Increase: Two +1's to ability scores of your choice.

**Languages:** Common

*Source: PS:Kaladesh 16*",PS:Kaladesh 16,race;medium;ps
feat,Agent of Order,,"## Agent of Order

**Prerequisite:** None

You can channel cosmic forces of order to gain these benefits:
- **Stasis Strike:** Once per turn, when you damage a creature you can see within 60 feet of yourself, you can deal an extra 1d8 force damage to the target, and it must make a Wisdom saving throw (DC equal to 8 + your proficiency bonus + the modifier of the spellcasting ability you chose for the Scion of the Outer Planes feat) as spectral bindings try to ensnare it. On a successful save, the target escapes. On a failed save, the target has the restrained condition until the start of your next turn. These bindings manifest as chains or some other symbol of stasis. You can use this benefit a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.

*Source: SatO*",SatO,feat;sato
subclass,Alchemist,Artificer,"## Alchemist
*Artificer Subclass*


*Source: UA: Artif*",UA: Artif,subclass;artificer;ua
feat,Alert,,"## Alert

**Prerequisite:** None

Always on the lookout for danger, you gain the following benefits:
- You gain a +5 bonus to initiative.
- You can't be surprised while you are conscious.
- Other creatures don't gain advantage on attack rolls against you as a result of being unseen by you.

*Source: PHB*",PHB,feat;phb
feat,Alert,,"## Alert

**Prerequisite:** None

You gain the following benefits.

**Initiative Proficiency.** When you roll Initiative|XPHB, you can add your Proficiency|XPHB|Proficiency Bonus to the roll.

**Initiative Swap.** Immediately after you roll Initiative|XPHB, you can swap your Initiative|XPHB with the Initiative|XPHB of one willing ally in the same combat. You can't make this swap if you or the ally has the XPHB condition.

*Source: XPHB*",XPHB,feat;xphb
subclass,Ancestral Guardian,Barbarian,"## Ancestral Guardian
*Barbarian Subclass*


*Source: XGE*",XGE,subclass;barbarian;xge
subclass,Ancients,Paladin,"## Ancients
*Paladin Subclass*


*Source: PHB*",PHB,subclass;paladin;phb
background,Anthropologist,,"## Anthropologist

**Skill Proficiencies:** Insight, Religion
**Languages:** 2 of your choice

### Feature: Adept Linguist

You can communicate with humanoids who don't speak any language you know. You must observe the humanoids interacting with one another for at least 1 day, after which you learn a handful of important words, expressions, and gestures - enough to communicate on a rudimentary level.

*Source: ToA*",ToA,background;toa
subclass,Arcana,Cleric,"## Arcana
*Cleric Subclass*


*Source: SCAG*",SCAG,subclass;cleric;scag
subclass,Arcane Archer,Fighter,"## Arcane Archer
*Fighter Subclass*


*Source: XGE*",XGE,subclass;fighter;xge
subclass,Arcane Trickster,Rogue,"## Arcane Trickster
*Rogue Subclass*


*Source: PHB*",PHB,subclass;rogue;phb
subclass,Arch-fey,Warlock,"## Arch-fey
*Warlock Subclass*


*Source: PHB*",PHB,subclass;warlock;phb
background,Archaeologist,,"## Archaeologist

**Skill Proficiencies:** History, Survival
**Tool Proficiencies:** Choose 1: cartographer's tools, navigator's tools
**Languages:** 1 of your choice

### Feature: Historical Knowledge

When you enter a ruin or dungeon, you can correctly ascertain its original purpose and determine its builders, whether those were dwarves, elves, humans, yuan-ti, or some other known race. In addition, you can determine the monetary value of art objects more than a century old.

*Source: ToA*",ToA,background;toa
feat,Archery,,"## Archery

**Prerequisite:** None

You gain a +2 bonus to attack rolls you make with Ranged weapons.

*Source: XPHB*",XPHB,feat;xphb
subclass,Artificer,Wizard,"## Artificer
*Wizard Subclass*


*Source: UA:EBB*",UA:EBB,subclass;wizard;ua
class,Artificer,,"# Artificer

**Hit Dice:** 1d8 per Artificer level  
**Hit Points at 1st Level:** 8 + your Constitution modifier  
**Hit Points at Higher Levels:** 1d8 (or 5) + your Constitution modifier per level after 1st

### Proficiencies


### Class Features",Player's Handbook,class;artificer
feat,Artificer Initiate,,"## Artificer Initiate

**Prerequisite:** None

You've learned some of an artificer's inventiveness:
- You learn one cantrip of your choice from the artificer spell list|spells|level=0;1|class=artificer, and you learn one 1st-level spell of your choice from that list|spells|level=0;1|class=artificer. Intelligence is your spellcasting ability for these spells.
- You can cast this feat's 1st-level spell without a spell slot, and you must finish a long rest before you can cast it in this way again. You can also cast the spell using any spell slots you have.
- You gain proficiency with one type of artisan's tools|items|type=artisan's tools of your choice, and you can use that type of tool as a spellcasting focus for any spell you cast that uses Intelligence as its spellcasting ability.

*Source: TCE*",TCE,feat;tce
subclass,Assassin,Rogue,"## Assassin
*Rogue Subclass*


*Source: PHB*",PHB,subclass;rogue;phb
feat,Athlete,,"## Athlete

**Prerequisite:** None

You have undergone extensive physical training to gain the following benefits:
- When you are prone, standing up uses only 5 feet of your movement.
- Climbing doesn't cost you extra movement.
- You can make a running long jump or a running high jump after moving only 5 feet on foot, rather than 10 feet.

*Source: PHB*",PHB,feat;phb
feat,Athlete,,"## Athlete

**Prerequisite:** STR 13+, DEX 13+

You gain the following benefits.

**Climb Speed.** You gain a Climb Speed|XPHB equal to your Speed|XPHB.

**Hop Up.** When you have the XPHB condition, you can right yourself with only 5 feet of movement.

**Jumping.** You can make a running Long Jump|XPHB|Long or High Jump|XPHB after moving only 5 feet.

*Source: XPHB*",XPHB,feat;xphb
subclass,Avatar,Mystic,"## Avatar
*Mystic Subclass*


*Source: UA:M3*",UA:M3,subclass;mystic;ua
race,"Aven, Hawk-Headed",Aven,"## Aven, Hawk-Headed

*Medium | Speed 30 ft.*

**Ability Score Increases:** DEX +2, WIS +2

### Racial Traits


**Age.** Like humans, aven reach adulthood in their late teens and can live into their 80s.

**Alignment.** Aven are inclined toward the lawful good alignment of the Church of Serra

**Size.** Aven stand from 5 to 6 feet tall, but their bodies are slender and their bones are partially hollow to facilitate their flight. Your size is Medium.

**Flight.** You have a flying speed of 30 feet. You can't use your flying speed while you wear medium or heavy armor. (If your campaign uses the variant rule for encumbrance|PHB, you can't use your flying speed if you are encumbered.)

**Languages.** You can speak, read, and write Common and Aven|PSD.

**Hawkeyed.** You have proficiency in the Perception skill. In addition, attacking at long range doesn't impose disadvantage on your ranged weapon attack rolls.

**Languages:** Common

*Source: PS:Amonkhet 15*",PS:Amonkhet 15,race;medium;ps
race,"Aven, Ibis-Headed",Aven,"## Aven, Ibis-Headed

*Medium | Speed 30 ft.*

**Ability Score Increases:** DEX +2, INT +1

### Racial Traits


**Age.** Like humans, aven reach adulthood in their late teens and can live into their 80s.

**Alignment.** Aven are inclined toward the lawful good alignment of the Church of Serra

**Size.** Aven stand from 5 to 6 feet tall, but their bodies are slender and their bones are partially hollow to facilitate their flight. Your size is Medium.

**Flight.** You have a flying speed of 30 feet. You can't use your flying speed while you wear medium or heavy armor. (If your campaign uses the variant rule for encumbrance|PHB, you can't use your flying speed if you are encumbered.)

**Languages.** You can speak, read, and write Common and Aven|PSD.

**Hawkeyed.** You have proficiency in the Perception skill. In addition, attacking at long range doesn't impose disadvantage on your ranged weapon attack rolls.

**Languages:** Common

*Source: PS:Amonkhet 15*",PS:Amonkhet 15,race;medium;ps
subclass,Awakened,Mystic,"## Awakened
*Mystic Subclass*


*Source: UA:M3*",UA:M3,subclass;mystic;ua
feat,Baleful Scion,,"## Baleful Scion

**Prerequisite:** None

You can channel cosmic forces of evil to gain these benefits:
- **Grasp of Avarice:** Once per turn, when you damage a creature you can see within 60 feet of yourself, you can also deal necrotic damage to it. The necrotic damage equals 1d6 + your proficiency bonus, and you regain a number of hit points equal to this necrotic damage dealt. You can use this benefit a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.

*Source: SatO*",SatO,feat;sato
class,Barbarian,,"# Barbarian

**Hit Dice:** 1d8 per Barbarian level  
**Hit Points at 1st Level:** 8 + your Constitution modifier  
**Hit Points at Higher Levels:** 1d8 (or 5) + your Constitution modifier per level after 1st

### Proficiencies


### Class Features",Player's Handbook,class;barbarian
class,Bard,,"# Bard

**Hit Dice:** 1d8 per Bard level  
**Hit Points at 1st Level:** 8 + your Constitution modifier  
**Hit Points at Higher Levels:** 1d8 (or 5) + your Constitution modifier per level after 1st

### Proficiencies


### Class Features",Player's Handbook,class;bard
subclass,Battle Master,Fighter,"## Battle Master
*Fighter Subclass*


*Source: PHB*",PHB,subclass;fighter;phb
subclass,Beast (master),Revised Ranger,"## Beast (master)
*Revised Ranger Subclass*


*Source: UA:RR*",UA:RR,subclass;revised ranger;ua
subclass,Beast Master,Ranger,"## Beast Master
*Ranger Subclass*


*Source: PHB*",PHB,subclass;ranger;phb
background,Black Fist Double Agent,,"## Black Fist Double Agent

**Skill Proficiencies:** Deception, Insight
**Tool Proficiencies:** Disguise kit, and choose 1: artisan's tools , gaming set

*Source: CoS(AL)*",CoS(AL),background;cos
feat,Blessed Warrior,,"## Blessed Warrior

**Prerequisite:** None

You learn two Cleric cantrips|spells|level=0|class=Cleric of your choice. XPHB and XPHB are recommended. The chosen cantrips count as Paladin spells for you, and Charisma is your spellcasting ability for them. Whenever you gain a Paladin level, you can replace one of these cantrips with another Cleric cantrip.

*Source: XPHB*",XPHB,feat;xphb
feat,Blind Fighting,,"## Blind Fighting

**Prerequisite:** None

You have XPHB with a range of 10 feet.

*Source: XPHB*",XPHB,feat;xphb
feat,Bloodlust,,"## Bloodlust

**Prerequisite:** None

You gain the following benefits.

**Powerful Recovery.** When you roll a Hit Point Dice|XPHB|Hit Point Die to regain Hit Points|XPHB, you can treat any roll of 1 or 2 as a 3.

**Sanguine Feast.** Once per turn when you hit a XPHB creature that isn't a Construct or Undead with an attack roll, you can expend a Hit Point Dice|XPHB|Hit Point Die, roll it, and regain a number of Hit Points|XPHB equal to the number rolled plus your Constitution modifier.
You can use this feature a number of times equal to your Proficiency|XPHB|Proficiency Bonus, and you regain all expended uses when you finish a Long Rest|XPHB.

*Source: ABH*",ABH,feat;abh
feat,Bomber,,"## Bomber

**Prerequisite:** None
**Ability Score Increase:** DEX +1

You gain the following benefits.

**Far Lobber.** When you use the XPHB action to throw a vial or flask, you can target an object or creature you can see within 40 feet of yourself.

**Long Shots.** Attacking at long range doesn't impose Disadvantage|XPHB on your attack rolls with T|XPHB|Thrown weapons.

*Source: ABH*",ABH,feat;abh
feat,Boon of Blazing Dawn,,"## Boon of Blazing Dawn

**Prerequisite:** None
**Ability Score Increase:** MAX +30

You gain the following benefits.

**Beloved of the Sun.** You have Immunity|XPHB to Radiant damage.

**Blazing Strike.** When you hit a creature with a weapon attack, the damage can be Radiant or the weapon's normal damage type (your choice).

**Burst of Sunlight.** Once per turn when you hit a creature with an attack that deals Radiant damage, you can emit Bright Light|XPHB in a 30-foot radius from yourself and Dim Light|XPHB for an additional 30 feet until the start of your next turn. This light is sunlight.

*Source: ABH*",ABH,feat;abh
feat,Boon of Bloodshed,,"## Boon of Bloodshed

**Prerequisite:** None
**Ability Score Increase:** MAX +30

You gain the following benefits.

**Killer's Fortune.** When an enemy you can see is reduced to 0 Hit Points|XPHB, you gain Advantage|XPHB on the next attack roll you make before the end of your next turn.

**Power from Pain.** Once per turn, when you make an attack roll while XPHB, you can deal extra damage to the target equal to your Proficiency|XPHB|Proficiency Bonus. The extra damage's type is the same as the attack's type.

*Source: FRHoF*",FRHoF,feat;frhof
feat,Boon of Bountiful Health,,"## Boon of Bountiful Health

**Prerequisite:** None
**Ability Score Increase:** MAX +30

You gain the following benefits.

**Augmented Health.** When you gain Temporary Hit Points|XPHB, increase the number of Temporary Hit Points|XPHB you gain by 5.

**Superior Recuperation.** When you spend one or more Hit Point Dice|XPHB to regain Hit Points|XPHB, you can instead use the highest number possible for each die.

*Source: FRHoF*",FRHoF,feat;frhof
feat,Boon of Combat Prowess,,"## Boon of Combat Prowess

**Prerequisite:** None
**Ability Score Increase:** MAX +30

You gain the following benefits.

**Peerless Aim.** When you miss with an attack roll, you can hit instead. Once you use this benefit, you can't use it again until the start of your next turn.

*Source: XPHB*",XPHB,feat;xphb
feat,Boon of Communication,,"## Boon of Communication

**Prerequisite:** None
**Ability Score Increase:** MAX +30

You gain the following benefits.

**Cunning Speaker.** You don't have Disadvantage|XPHB on ability checks to influence Hostile [Attitude]|XPHB|Hostile creatures.

**Gifted Interpreter.** You understand the literal meaning of any language you hear or see signed, and you can understand the literal meaning of any written language you see.

**Mental Communication.** You gain telepathy with a range of 120 feet.

*Source: FRHoF*",FRHoF,feat;frhof
feat,Boon of Desperate Resilience,,"## Boon of Desperate Resilience

**Prerequisite:** None
**Ability Score Increase:** MAX +30

You gain the following benefits.

**Defense of Body and Mind.** While you are XPHB, you have Resistance|XPHB to every damage type except Force.

*Source: FRHoF*",FRHoF,feat;frhof
feat,Boon of Dimensional Travel,,"## Boon of Dimensional Travel

**Prerequisite:** None
**Ability Score Increase:** MAX +30

You gain the following benefits.

**Blink Steps.** Immediately after you take the XPHB action or the XPHB action, you can teleport up to 30 feet to an unoccupied space you can see.

*Source: XPHB*",XPHB,feat;xphb
feat,Boon of Energy Resistance,,"## Boon of Energy Resistance

**Prerequisite:** None
**Ability Score Increase:** MAX +30

You gain the following benefits.

**Energy Resistances.** You gain Resistance|XPHB to two of the following damage types of your choice: Acid, Cold, Fire, Lightning, Necrotic, Poison, Psychic, Radiant, or Thunder. Whenever you finish a Long Rest|XPHB, you can change your choices.

**Energy Redirection.** When you take damage of one of the types chosen for the Energy Resistances benefit, you can take a Reaction|XPHB to direct damage of the same type toward another creature you can see within 60 feet of yourself that isn't behind Cover|XPHB|Total Cover. If you do so, that creature must succeed on a Dexterity saving throw (DC 8 plus your Constitution modifier and Proficiency|XPHB|Proficiency Bonus) or take damage equal to 2d12 plus your Constitution modifier.

*Source: XPHB*",XPHB,feat;xphb
feat,Boon of Exquisite Radiance,,"## Boon of Exquisite Radiance

**Prerequisite:** None
**Ability Score Increase:** MAX +30

You gain the following benefits.

**Eternal Rest.** Creatures you reduce to 0 Hit Points|XPHB can't become Undead.

**Powerful Radiance.** When you make a damage roll that deals Radiant damage, you can instead use the highest number possible for each damage die. Once you use this benefit, you can't do so again until you finish a Long Rest|XPHB.

*Source: FRHoF*",FRHoF,feat;frhof
feat,Boon of Fate,,"## Boon of Fate

**Prerequisite:** None
**Ability Score Increase:** MAX +30

You gain the following benefits.

**Improve Fate.** When you or another creature within 60 feet of you succeeds on or fails a D20 Test|XPHB, you can roll 2d4 and apply the total rolled as a bonus or penalty to the d20 roll. Once you use this benefit, you can't use it again until you roll Initiative|XPHB or finish a Short Rest|XPHB|Short or Long Rest|XPHB.

*Source: XPHB*",XPHB,feat;xphb
