name,item_type,rarity,requires_attunement,attunement_requirement,description,mechanical_effect,charges,source_campaign,tags
Bracers of Defense,Wondrous Item,Rare,1,requires attunement,"While wearing these bracers, you gain a +2 bonus to AC if you are wearing no armor and using no shield.",,,,wondrous item;magic-item
Brazier of Commanding Fire Elementals,Wondrous Item,Rare,0,,"While a fire burns in this brass brazier, you can use an action to speak the brazier's command word and summon a fire elemental, as if you had cast the conjure elemental spell. The brazier can't be used this way again until the next dawn. The brazier weighs 5 pounds.",,,,wondrous item;magic-item
Breastplate,Armor,Common,0,,"This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered.",,,,armor;magic-item
Breastplate of Resistance,Armor,Rare,1,requires attunement,"You have resistance to one type of damage while you wear this armor. The GM chooses the type or determines it randomly from the options below.d10Damage Type
1Acid
2Cold
3Fire
4Force
5Lightning
6Necrotic
7Poison
8Psychic
9Radiant
10Thunder",,,,armor;magic-item
Brewer's supplies,Tool,Common,0,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.,,,,tool;magic-item
Broken Mirror,Other,Common,0,,Probably brings bad luck to whoever broke it.,,,,other;magic-item
Bronze Griffon,Wondrous Item,Rare,0,,"A figurine of wondrous power is a statuette of a beast small enough to fit in a pocket. If you use an action to speak the command word and throw the figurine to a point on the ground within 60 feet of you, the figurine becomes a living creature. If the space where the creature would appear is occupied by other creatures or objects, or if there isn’t enough space for the creature, the figurine doesn’t become a creature.

This bronze statuette is of a griffon rampant. It can become a griffon for up to 6 hours. Once it has been used, it can't be used again until 5 days have passed.",,,,wondrous item;magic-item
Brooch of Shielding,Wondrous Item,Uncommon,1,requires attunement,"While wearing this brooch, you have resistance to force damage, and you have immunity to damage from the magic missile spell.",,,,wondrous item;magic-item
Broom of Flying,Wondrous Item,Uncommon,0,,"This wooden broom, which weighs 3 pounds, functions like a mundane broom until you stand astride it and speak its command word. It then hovers beneath you and can be ridden in the air. It has a flying speed of 50 feet. It can carry up to 400 pounds, but its flying speed becomes 30 feet while carrying over 200 pounds. The broom stops hovering when you land. You can send the broom to travel alone to a destination within 1 mile of you if you speak the command word, name the location, and are familiar with that place. The broom comes back to you when you speak another command word, provided that the broom is still within 1 mile of you.",,,,wondrous item;magic-item
Bucket,Adventuring Gear,Common,0,,"Capacity: 3 gallons liquid, 1/2 cubic foot solid",,,,adventuring gear;magic-item
Burnt Othur Fumes,Poison,Uncommon,0,,"A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or take 10 (3d6) poison damage, and must repeat the saving throw at the start of each of its turns. On each successive failed save, the character takes 3 (1d6) poison damage. After three successful saves, the poison ends.",,,,poison;magic-item
Calligrapher's supplies,Tool,Common,0,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.,,,,tool;magic-item
Caltrops (bag of 20),Adventuring Gear,Common,0,,"As an action, you can spread a bag of caltrops to cover a square area that is 5 feet on a side. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving this turn and take 1 piercing damage. Taking this damage reduces the creature's walking speed by 10 feet until the creature regains at least 1 hit point. A creature moving through the area at half speed doesn't need to make the save.",,,,adventuring gear;magic-item
Candle,Adventuring Gear,Common,0,,"For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet.",,,,adventuring gear;magic-item
Cape of the Mountebank,Wondrous Item,Rare,0,,"This cape smells faintly of brimstone. While wearing it, you can use it to cast the dimension door spell as an action. This property of the cape can't be used again until the next dawn. When you disappear, you leave behind a cloud of smoke, and you appear in a similar cloud of smoke at your destination. The smoke lightly obscures the space you left and the space you appear in, and it dissipates at the end of your next turn. A light or stronger wind disperses the smoke.",,,,wondrous item;magic-item
Carpenter's tools,Tool,Common,0,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.,,,,tool;magic-item
Carpet of Flying,Wondrous Item,Very Rare,0,,"You can speak the carpet's command word as an action to make the carpet hover and fly. It moves according to your spoken directions, provided that you are within 30 feet of it. Four sizes of carpet of flying exist. The GM chooses the size of a given carpet or determines it randomly.d100SizeCapacityFlying Speed
01-203ft. x 5 ft.200 lb.80 feet
21-554ft. x 6ft.400 lb.60 feet
56-805ft. x 7 ft.600 lb.40 feet
81-1006ft. x 9 ft.800 lb.30 feet",,,,wondrous item;magic-item
Cartographer's tools,Tool,Common,0,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.,,,,tool;magic-item
Carved Bone Statuette,Other,Common,0,,"A carved ox bone female figure statue on a wooden base. The statue is 16"" in height.",,,,other;magic-item
"Case, Crossbow Bolt",Adventuring Gear,Common,0,,This wooden case can hold up to twenty crossbow bolts.,,,,adventuring gear;magic-item
"Case, Map or Scroll",Adventuring Gear,Common,0,,This cylindrical leather case can hold up to ten rolled-up sheets of paper or five rolled-up sheets of parchment.,,,,adventuring gear;magic-item
Censer of Controlling Air Elementals,Wondrous Item,Rare,0,,"While incense is burning in this censer, you can use an action to speak the censer's command word and summon an air elemental, as if you had cast the conjure elemental spell. The censer can't be used this way again until the next dawn. This 6-inch-wide, 1-foot-high vessel resembles a chalice with a decorated lid. It weighs 1 pound.",,,,wondrous item;magic-item
Chain (10 feet),Adventuring Gear,Common,0,,A chain has 10 hit points. It can be burst with a successful DC 20 Strength check.,,,,adventuring gear;magic-item
Chain Mail,Armor,Common,0,,"Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.",,,,armor;magic-item
Chain Shirt,Armor,Common,0,,"Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers.",,,,armor;magic-item
Chalk (1 piece),Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Chalk of Identification,Wondrous Item,Uncommon,0,,"This piece of chalk comes in a small wooden box decorated with intricate ornaments. In the wooden box, besides the piece of chalk, there is also a small parchment with instructions on how to use the piece of chalk.
The owner can draw a circle with special ornaments on a flat surface and place an object in it which consumes a charge. Over the course of 10 minutes, the chalk particles on the surface are consumed and the person drawing the circle becomes aware of the magical properties of the object placed within it.
When found the Chalk has 1d6 + 2 charges.",,,,wondrous item;magic-item
Chest,Adventuring Gear,Common,0,,Capacity: 12 cubic feet/300 pounds of gear,,,,adventuring gear;magic-item
Chime of Opening,Wondrous Item,Rare,0,,"This hollow metal tube measures about 1 foot long and weighs 1 pound. You can strike it as an action, pointing it at an object within 120 feet of you that can be opened, such as a door, lid, or lock. The Chime issues a clear tone, and one lock or latch on the object opens unless the sound can't reach the object. If no locks or latches remain, the object itself opens. The chime can be used ten times. After the tenth time, it cracks and becomes useless.",,,,wondrous item;magic-item
Circlet of Blasting,Wondrous Item,Uncommon,0,,"While wearing this circlet, you can use an action to cast the scorching ray spell with it. When you make the spell's attacks, you do so with an attack bonus of +5. The circlet can't be used this way again until the next dawn.",,,,wondrous item;magic-item
Climber's Kit,Adventuring Gear,Common,0,,"A climber's kit includes special pitons, boot tips, gloves, and a harness. You can use the climber's kit as an action to anchor yourself; when you do, you can't fall more than 25 feet from the point where you anchored yourself, and you can't climb more than 25 feet away from that point without undoing the anchor.",,,,adventuring gear;magic-item
Cloak of Arachnida,Wondrous Item,Very Rare,1,requires attunement,"This fine garment is made of black silk interwoven with faint silvery threads. While wearing it, you gain the following benefits:You have resistance to poison damage.
You have a climbing speed equal to your walking speed.
You can move up, down, and across vertical surfaces and upside down along ceilings, while leaving your hands free.
You can't be caught in webs of any sort and can move through webs as if they were difficult terrain.
You can use an action to cast the web spell (save DC 13). The web created by the spell fills twice its normal area. Once used, this property of the cloak can't be used again until the next dawn.",,,,wondrous item;magic-item
Cloak of Displacement,Wondrous Item,Rare,1,requires attunement,"While you wear this cloak, it projects an illusion that makes you appear to be standing in a place near your actual location, causing any creature to have disadvantage on attack rolls against you. If you take damage, the property ceases to function until the start of your next turn. This property is suppressed while you are incapacitated, restrained, or otherwise unable to move.",,,,wondrous item;magic-item
Cloak of Elvenkind,Wondrous Item,Uncommon,1,requires attunement,"While you wear this cloak with its hood up, Wisdom (Perception) checks made to see you have disadvantage, and you have advantage on Dexterity (Stealth) checks made to hide, as the cloak's color shifts to camouflage you. Pulling the hood up or down requires an action.",,,,wondrous item;magic-item
Cloak of Protection,Wondrous Item,Uncommon,1,requires attunement,You gain a +1 bonus to AC and saving throws while you wear this cloak.,,,,wondrous item;magic-item
Cloak of the Bat,Wondrous Item,Rare,1,requires attunement,"While wearing this cloak, you have advantage on Dexterity (Stealth) checks. In an area of dim light or darkness, you can grip the edges of the cloak with both hands and use it to fly at a speed of 40 feet. If you ever fail to grip the cloak's edges while flying in this way, or if you are no longer in dim light or darkness, you lose this flying speed.",,,,wondrous item;magic-item
Cloak of the Manta Ray,Wondrous Item,Uncommon,0,,"While wearing this cloak with its hood up, you can breathe underwater, and you have a swimming speed of 60 feet. Pulling the hood up or down requires an action.",,,,wondrous item;magic-item
Cloth Scrap,Other,Common,0,,An old scrap of cloth from a shirt or sheet of some kind.,,,,other;magic-item
Cloth-of-gold Vestments,Other,Common,0,,These holy garments are made of silk interwoven with gold threads.,,,,other;magic-item
"Clothes, Common",Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
"Clothes, Costume",Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
"Clothes, Fine",Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
"Clothes, Traveler's",Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Club,Simple Melee,Common,0,,"**Damage:** 1d4  
**Properties:** light  
**Cost:** 0.1 gp",,,,simple melee;weapon
Cobbler's tools,Tool,Common,0,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.,,,,tool;magic-item
Comb,Other,Common,0,,A small wooden comb.,,,,other;magic-item
Component Pouch,Adventuring Gear,Common,0,,"A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spell's description).",,,,adventuring gear;magic-item
Cook's utensils,Tool,Common,0,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.,,,,tool;magic-item
Cooking Pot,Other,Common,0,,A cast iron cooking pot. It smells like it was last used for soup.,,,,other;magic-item
Copper Acorns,Other,Common,0,,"Heavy, solid copper acorns with perfect natural detail.",,,,other;magic-item
Copper Chalice,Other,Common,0,,A small copper chalice with a silver filigree.,,,,other;magic-item
Crawler Mucus,Poison,Uncommon,0,,"This poison must be harvested from a dead or incapacitated crawler. A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. The poisoned creature is paralyzed. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,,poison;magic-item
Crossbow Bolts (20),Martial Melee,Common,0,,**Cost:** 1 gp,,,,martial melee;weapon
Crowbar,Adventuring Gear,Common,0,,Using a crowbar grants advantage to Strength checks where the crowbar's leverage can be applied.,,,,adventuring gear;magic-item
Crude Box,Other,Common,0,,"A wooden box. Carved by someone who has had no formal training in woodworking, and it shows.",,,,other;magic-item
Crude Holy Symbol,Other,Common,0,,A crudely carved wooden holy symbol.,,,,other;magic-item
Crude Pipe,Other,Common,0,,A crudely carved wooden pipe.,,,,other;magic-item
Crystal Ball,Wondrous Item,Very Rare,1,requires attunement,"The typical crystal ball, a very rare item, is about 6 inches in diameter. While touching it, you can cast the scrying spell (save DC 17) with it.
 The following crystal ball variants are legendary items and have additional properties.  
 Crystal Ball of Mind Reading. You can use an action to cast the detect thoughts spell (save DC 17) while you are scrying with the crystal ball, targeting creatures you can see within 30 feet of the spell's sensor. You don't need to concentrate on this detect thoughts to maintain it during its duration, but it ends if scrying ends.  
 Crystal Ball of Telepathy. While scrying with the crystal ball, you can communicate telepathically with creatures you can see within 30 feet of the spell's sensor. You can also use an action to cast the suggestion spell (save DC 17) through the sensor on one of those creatures. You don't need to concentrate on this suggestion to maintain it during its duration, but it ends if scrying ends. Once used, the suggestion power of the crystal ball can't be used again until the next dawn.  
 Crystal Ball of True Seeing. While scrying with the crystal ball, you have truesight with a radius of 120 feet centered on the spell's sensor.",,,,wondrous item;magic-item
Cube of Force,Wondrous Item,Rare,1,requires attunement,"This cube is about an inch across. Each face has a distinct marking on it that can be pressed. The cube starts with 36 charges, and it regains 1d20 expended charges daily at dawn. You can use an action to press one of the cube's faces, expending a number of charges based on the chosen face, as shown in the Cube of Force Faces table. Each face has a different effect. If the cube has insufficient charges remaining, nothing happens. Otherwise, a barrier of invisible force springs into existence, forming a cube 15 feet on a side. The barrier is centered on you, moves with you, and lasts for 1 minute, until you use an action to press the cube's sixth face, or the cube runs out of charges. You can change the barrier's effect by pressing a different face of the cube and expending the requisite number of charges, resetting the duration. If your movement causes the barrier to come into contact with a solid object that can't pass through the cube, you can't move any closer to that object as long as the barrier remains.Cube of Force FacesFaceChargesEffect
11Gases, wind, and fog can't passthrough the barrier.
22Nonliving matter can't passthrough the barrier. Walls,floors, and ceilings can passthrough at your discretion.
33Living matter can't pass throughthe barrier.
44Spell effects can't pass throughthe barrier.
55Nothing can pass through thebarrier. Walls, floors, andceilings can pass through atyour discretion.
60The barrier deactivates.
 The cube loses charges when the barrier is targeted by certain spells or comes into contact with certain spell or magic item effects, as shown in the table below.
    Spell or item Charges Lost 
    Disintegrate 1d12 
  Horn of blasting 1d10 
  Passwall 1d6 
  Prismatic spray 1d20 
  Wall of fire 1d4",,,,wondrous item;magic-item
Cubic Gate,Wondrous Item,Legendary,0,,"This cube is 3 inches across and radiates palpable magical energy. The six sides of the cube are each keyed to a different plane of existence, one of which is the Material Plane. The other sides are linked to planes determined by the GM.

You can use an action to press one side of the cube to cast the gate spell with it, opening a portal to the plane keyed to that side. Alternatively, if you use an action to press one side twice, you can cast the Plane Shift spell (save DC 17) with the cube and transport the Targets to the plane keyed to that side.

The cube has 3 Charges. Each use of the cube expends 1 charge. The cube regains 1d3 expended Charges daily at dawn.",,3,,wondrous item;magic-item
Dagger,Simple Melee,Common,0,,"**Damage:** 1d4  
**Properties:** finesse, light, thrown (range 20/60)  
**Cost:** 2 gp",,,,simple melee;weapon
Dagger of Venom,Simple Melee,Uncommon,0,,"**Damage:** 1d4  
**Properties:** finesse, light, thrown (range 20/60)  
**Cost:** 2500 gp","You gain a +1 bonus to attack and damage rolls made with this magic weapon. You can use an action to cause thick, black poison to coat the blade. The poison remains for 1 minute or until an attack using this weapon hits a creature. That creature must succeed on a DC 15 Constitution saving throw or take 2d10 poison damage and become poisoned for 1 minute. The dagger can't be used this way again until the next dawn.",,,simple melee;weapon
